Instance  		Objective		Scheduling														Heuristic		Duration (in s)
instance15 		28412			ratio value/totalWeight crescent                    			Static 			0.000886
instance15 		27906			ratio value/totalWeight crescent                    			Dynamic			0.001036
instance15 		27607			ratio value/weightOfMostCriticalDimension descending			Static 			0.002212
instance16 		40410			ratio value/totalWeight descending                  			Dynamic			0.000874
instance16 		40320			ratio value/totalWeight descending                  			Static 			0.000868
instance16 		38147			descending                                          			Static 			0.000428
instance16 		38147			descending                                          			Dynamic			0.000438
instance16 		37007			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001570
instance16 		36408			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001460
instance16 		33548			ratio value/weightOfMostFullDimension crescent      			Static 			0.002052
instance16 		32150			random                                              			Dynamic			0.000564
instance16 		32150			random                                              			Static 			0.000644
instance16 		32073			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002002
instance16 		31783			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002156
instance16 		31493			ratio value/weightOfMostFullDimension descending    			Static 			0.002148
instance16 		29340			crescent                                            			Dynamic			0.000400
instance16 		29020			ratio value/weightOfMostCriticalDimension descending			Static 			0.001764
instance16 		28914			ratio value/totalWeight crescent                    			Dynamic			0.000908
instance16 		28583			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001718
instance16 		27016			crescent                                            			Static 			0.000462
instance16 		26950			ratio value/totalWeight crescent                    			Static 			0.000890
instance17 		38601			ratio value/totalWeight descending                  			Dynamic			0.000872
instance17 		38004			ratio value/totalWeight descending                  			Static 			0.000838
instance17 		37588			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.002118
instance17 		37505			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001756
instance17 		36831			descending                                          			Static 			0.000398
instance17 		36831			descending                                          			Dynamic			0.000450
instance17 		34629			random                                              			Dynamic			0.000542
instance17 		34617			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001994
instance17 		33005			ratio value/weightOfMostFullDimension descending    			Static 			0.001924
instance17 		32839			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002396
instance17 		32809			random                                              			Static 			0.000594
instance17 		31502			ratio value/weightOfMostFullDimension crescent      			Static 			0.002048
instance17 		29109			crescent                                            			Static 			0.000512
instance17 		27468			ratio value/totalWeight crescent                    			Dynamic			0.000868
instance17 		27312			ratio value/weightOfMostCriticalDimension descending			Static 			0.001934
instance17 		27163			ratio value/totalWeight crescent                    			Static 			0.000818
instance17 		26529			crescent                                            			Dynamic			0.000492
instance17 		25434			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001872
instance18 		42909			ratio value/totalWeight descending                  			Dynamic			0.000954
instance18 		40471			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001584
instance18 		38199			ratio value/totalWeight descending                  			Static 			0.000878
instance18 		37450			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001852
instance18 		37286			descending                                          			Static 			0.000454
instance18 		37286			descending                                          			Dynamic			0.000390
instance18 		36261			random                                              			Static 			0.000528
instance18 		36261			random                                              			Dynamic			0.000584
instance18 		34421			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001986
instance18 		33929			ratio value/weightOfMostFullDimension descending    			Static 			0.002030
instance18 		32901			crescent                                            			Static 			0.000442
instance18 		32772			ratio value/weightOfMostFullDimension crescent      			Static 			0.001994
instance18 		32772			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002094
instance18 		32752			crescent                                            			Dynamic			0.000434
instance18 		30577			ratio value/totalWeight crescent                    			Static 			0.000800
instance18 		30153			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001896
instance18 		29766			ratio value/weightOfMostCriticalDimension descending			Static 			0.001852
instance18 		29498			ratio value/totalWeight crescent                    			Dynamic			0.000902
instance19 		40392			ratio value/totalWeight descending                  			Static 			0.000802
instance19 		39700			ratio value/totalWeight descending                  			Dynamic			0.000800
instance19 		38494			descending                                          			Static 			0.000358
instance19 		38494			descending                                          			Dynamic			0.000344
instance19 		38045			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001634
instance19 		38025			ratio value/weightOfMostFullDimension descending    			Static 			0.002096
instance19 		38025			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002088
instance19 		36955			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001476
instance19 		34035			crescent                                            			Static 			0.000378
instance19 		33887			ratio value/weightOfMostFullDimension crescent      			Static 			0.002140
instance19 		33440			crescent                                            			Dynamic			0.000442
instance19 		33213			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002240
instance19 		33197			random                                              			Static 			0.000492
instance19 		31078			ratio value/weightOfMostCriticalDimension descending			Static 			0.001606
instance19 		31077			random                                              			Dynamic			0.000480
instance19 		30651			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001966
instance19 		28728			ratio value/totalWeight crescent                    			Dynamic			0.000898
instance19 		28199			ratio value/totalWeight crescent                    			Static 			0.000920
instance20 		42749			ratio value/totalWeight descending                  			Static 			0.000854
instance20 		42040			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001752
instance20 		42036			ratio value/totalWeight descending                  			Dynamic			0.000846
instance20 		39851			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001838
instance20 		39560			descending                                          			Static 			0.000514
instance20 		39560			descending                                          			Dynamic			0.000460
instance20 		36649			random                                              			Static 			0.000514
instance20 		36157			ratio value/weightOfMostFullDimension descending    			Static 			0.002184
instance20 		36024			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002168
instance20 		35851			random                                              			Dynamic			0.000492
instance20 		33142			ratio value/weightOfMostFullDimension crescent      			Static 			0.002248
instance20 		32528			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002340
instance20 		31874			crescent                                            			Static 			0.000488
instance20 		31168			crescent                                            			Dynamic			0.000494
instance20 		30510			ratio value/weightOfMostCriticalDimension descending			Static 			0.001768
instance20 		30247			ratio value/totalWeight crescent                    			Static 			0.001062
instance20 		28976			ratio value/totalWeight crescent                    			Dynamic			0.001018
instance20 		28296			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001448
instance21 		59504			ratio value/totalWeight descending                  			Dynamic			0.000978
instance21 		57171			ratio value/totalWeight descending                  			Static 			0.000824
instance21 		56343			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001704
instance21 		56343			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001796
instance21 		53947			ratio value/weightOfMostFullDimension descending    			Static 			0.002278
instance21 		53947			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002152
instance21 		53785			descending                                          			Static 			0.000534
instance21 		53785			descending                                          			Dynamic			0.000424
instance21 		53377			random                                              			Static 			0.000716
instance21 		53377			random                                              			Dynamic			0.000638
instance21 		50575			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001966
instance21 		49428			ratio value/weightOfMostFullDimension crescent      			Static 			0.002118
instance21 		49191			ratio value/weightOfMostCriticalDimension descending			Static 			0.001530
instance21 		49038			crescent                                            			Dynamic			0.000412
instance21 		48182			crescent                                            			Static 			0.000416
instance21 		47619			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001524
instance21 		46318			ratio value/totalWeight crescent                    			Static 			0.000880
instance21 		45181			ratio value/totalWeight crescent                    			Dynamic			0.000816
instance22 		59384			ratio value/totalWeight descending                  			Dynamic			0.001068
instance22 		58892			ratio value/totalWeight descending                  			Static 			0.000912
instance22 		57126			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001698
instance22 		56775			descending                                          			Dynamic			0.000426
instance22 		56775			descending                                          			Static 			0.000418
instance22 		56465			random                                              			Static 			0.000516
instance22 		55900			ratio value/weightOfMostFullDimension descending    			Static 			0.002250
instance22 		54605			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001684
instance22 		54256			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001616
instance22 		53605			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002046
instance22 		53449			ratio value/weightOfMostCriticalDimension descending			Static 			0.001878
instance22 		53412			ratio value/weightOfMostFullDimension crescent      			Static 			0.001994
instance22 		52869			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002240
instance22 		52449			random                                              			Dynamic			0.000530
instance22 		51942			crescent                                            			Dynamic			0.000532
instance22 		49428			crescent                                            			Static 			0.000652
instance22 		49049			ratio value/totalWeight crescent                    			Dynamic			0.000864
instance22 		47803			ratio value/totalWeight crescent                    			Static 			0.001006
instance23 		58617			ratio value/totalWeight descending                  			Dynamic			0.000908
instance23 		57911			ratio value/totalWeight descending                  			Static 			0.000956
instance23 		57238			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001900
instance23 		56705			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001552
instance23 		54255			ratio value/weightOfMostFullDimension descending    			Static 			0.002228
instance23 		53813			descending                                          			Dynamic			0.000450
instance23 		53813			descending                                          			Static 			0.000422
instance23 		53638			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002372
instance23 		52749			random                                              			Dynamic			0.000574
instance23 		52082			random                                              			Static 			0.000646
instance23 		51664			crescent                                            			Dynamic			0.000546
instance23 		50867			ratio value/weightOfMostFullDimension crescent      			Static 			0.002276
instance23 		50412			crescent                                            			Static 			0.000494
instance23 		50359			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002128
instance23 		50282			ratio value/weightOfMostCriticalDimension descending			Static 			0.001832
instance23 		47678			ratio value/totalWeight crescent                    			Dynamic			0.000954
instance23 		46701			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001490
instance23 		45243			ratio value/totalWeight crescent                    			Static 			0.000966
instance24 		59356			ratio value/totalWeight descending                  			Dynamic			0.000912
instance24 		59032			ratio value/totalWeight descending                  			Static 			0.000986
instance24 		57491			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001876
instance24 		57436			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.002032
instance24 		53953			random                                              			Dynamic			0.000540
instance24 		53859			descending                                          			Static 			0.000428
instance24 		53859			descending                                          			Dynamic			0.000436
