Instance	Objective	Scheduling	Heuristic	Duration (in s)
instance14	31309	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001938
instance14	31309	ratio value/weightOfMostFullDimension descending	Dynamic	0.002596
instance14	29580	crescent	Dynamic	0.000308
instance14	29382	ratio value/weightOfMostFullDimension descending	Static	0.002604
instance14	29382	ratio value/weightOfMostCriticalDimension descending	Static	0.001896
instance14	28894	ratio value/totalWeight crescent	Dynamic	0.001026
instance14	28749	ratio value/totalWeight crescent	Static	0.000936
instance15	39319	ratio value/totalWeight descending	Static	0.001088
instance15	38870	ratio value/totalWeight descending	Dynamic	0.000958
instance15	37223	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001970
instance15	37223	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002650
instance15	36863	ratio value/weightOfMostFullDimension crescent	Static	0.002714
instance15	36863	ratio value/weightOfMostCriticalDimension crescent	Static	0.001944
instance15	33692	random	Static	0.000626
instance15	32540	random	Dynamic	0.000540
instance15	30802	descending	Static	0.000468
instance15	30802	descending	Dynamic	0.000482
instance15	30677	crescent	Static	0.000468
instance15	30196	crescent	Dynamic	0.000482
instance15	29168	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001858
instance15	29168	ratio value/weightOfMostFullDimension descending	Dynamic	0.002732
instance15	28412	ratio value/totalWeight crescent	Static	0.000958
instance15	27906	ratio value/totalWeight crescent	Dynamic	0.000874
instance15	27607	ratio value/weightOfMostFullDimension descending	Static	0.002840
instance15	27607	ratio value/weightOfMostCriticalDimension descending	Static	0.002000
instance16	40410	ratio value/totalWeight descending	Dynamic	0.000860
instance16	40320	ratio value/totalWeight descending	Static	0.000910
instance16	38147	descending	Static	0.000412
instance16	38147	descending	Dynamic	0.000514
instance16	37007	ratio value/weightOfMostCriticalDimension crescent	Static	0.001656
instance16	37007	ratio value/weightOfMostFullDimension crescent	Static	0.001888
instance16	36408	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001820
instance16	36408	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002168
instance16	29340	crescent	Dynamic	0.000464
instance16	29020	ratio value/weightOfMostCriticalDimension descending	Static	0.001676
instance16	29020	ratio value/weightOfMostFullDimension descending	Static	0.002200
instance16	28914	ratio value/totalWeight crescent	Dynamic	0.000780
instance16	28860	random	Dynamic	0.000572
instance16	28778	random	Static	0.000552
instance16	28583	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001808
instance16	28583	ratio value/weightOfMostFullDimension descending	Dynamic	0.001996
instance16	27016	crescent	Static	0.000480
instance16	26950	ratio value/totalWeight crescent	Static	0.000848
instance17	38601	ratio value/totalWeight descending	Dynamic	0.000600
instance17	38004	ratio value/totalWeight descending	Static	0.000558
instance17	37588	ratio value/weightOfMostCriticalDimension crescent	Static	0.001480
instance17	37588	ratio value/weightOfMostFullDimension crescent	Static	0.002266
instance17	37505	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001476
instance17	37505	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002764
instance17	36831	descending	Static	0.000326
instance17	36831	descending	Dynamic	0.000384
instance17	31799	random	Static	0.000368
instance17	31799	random	Dynamic	0.000452
instance17	29109	crescent	Static	0.000258
instance17	27468	ratio value/totalWeight crescent	Dynamic	0.000504
instance17	27312	ratio value/weightOfMostCriticalDimension descending	Static	0.001358
instance17	27312	ratio value/weightOfMostFullDimension descending	Static	0.001964
instance17	27163	ratio value/totalWeight crescent	Static	0.000584
instance17	26529	crescent	Dynamic	0.000254
instance17	25434	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001282
instance17	25434	ratio value/weightOfMostFullDimension descending	Dynamic	0.002318
instance18	42909	ratio value/totalWeight descending	Dynamic	0.000864
instance18	40471	ratio value/weightOfMostCriticalDimension crescent	Static	0.001848
instance18	40471	ratio value/weightOfMostFullDimension crescent	Static	0.002784
instance18	38199	ratio value/totalWeight descending	Static	0.000834
instance18	37450	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.002082
instance18	37450	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002926
instance18	37286	descending	Static	0.000402
instance18	37286	descending	Dynamic	0.000402
instance18	35352	random	Dynamic	0.000522
instance18	35302	random	Static	0.000612
instance18	32901	crescent	Static	0.000492
instance18	32752	crescent	Dynamic	0.000512
instance18	30577	ratio value/totalWeight crescent	Static	0.000904
instance18	30153	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.002032
instance18	30153	ratio value/weightOfMostFullDimension descending	Dynamic	0.002420
instance18	29766	ratio value/weightOfMostFullDimension descending	Static	0.002388
instance18	29766	ratio value/weightOfMostCriticalDimension descending	Static	0.002232
instance18	29498	ratio value/totalWeight crescent	Dynamic	0.000870
instance19	40392	ratio value/totalWeight descending	Static	0.000764
instance19	39700	ratio value/totalWeight descending	Dynamic	0.000748
instance19	38494	descending	Static	0.000384
instance19	38494	descending	Dynamic	0.000492
instance19	38045	ratio value/weightOfMostCriticalDimension crescent	Static	0.001782
instance19	38045	ratio value/weightOfMostFullDimension crescent	Static	0.002820
instance19	36955	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001550
instance19	36955	ratio value/weightOfMostFullDimension crescent	Dynamic	0.003254
instance19	34035	crescent	Static	0.000416
instance19	33440	crescent	Dynamic	0.000486
instance19	31078	ratio value/weightOfMostCriticalDimension descending	Static	0.001870
instance19	31078	ratio value/weightOfMostFullDimension descending	Static	0.002174
instance19	30651	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.002140
instance19	30651	ratio value/weightOfMostFullDimension descending	Dynamic	0.002488
instance19	28728	ratio value/totalWeight crescent	Dynamic	0.000744
instance19	28199	ratio value/totalWeight crescent	Static	0.000706
instance19	27045	random	Dynamic	0.000456
instance19	25284	random	Static	0.000546
instance20	42749	ratio value/totalWeight descending	Static	0.001050
instance20	42040	ratio value/weightOfMostCriticalDimension crescent	Static	0.002114
instance20	42040	ratio value/weightOfMostFullDimension crescent	Static	0.002460
instance20	42036	ratio value/totalWeight descending	Dynamic	0.000892
instance20	39851	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001638
instance20	39851	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002484
instance20	39560	descending	Static	0.000328
instance20	39560	descending	Dynamic	0.000328
instance20	37767	random	Dynamic	0.000514
instance20	36011	random	Static	0.000762
instance20	31874	crescent	Static	0.000466
instance20	31168	crescent	Dynamic	0.000390
instance20	30510	ratio value/weightOfMostCriticalDimension descending	Static	0.001502
instance20	30510	ratio value/weightOfMostFullDimension descending	Static	0.002286
instance20	30247	ratio value/totalWeight crescent	Static	0.000756
instance20	28976	ratio value/totalWeight crescent	Dynamic	0.000798
instance20	28296	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001520
instance20	28296	ratio value/weightOfMostFullDimension descending	Dynamic	0.002460
instance21	59504	ratio value/totalWeight descending	Dynamic	0.000856
instance21	57171	ratio value/totalWeight descending	Static	0.001018
instance21	56343	ratio value/weightOfMostCriticalDimension crescent	Static	0.001538
instance21	56343	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001504
instance21	56343	ratio value/weightOfMostFullDimension crescent	Static	0.002416
instance21	56343	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002326
instance21	53785	descending	Static	0.000512
instance21	53785	descending	Dynamic	0.000394
instance21	53409	random	Dynamic	0.000676
instance21	52679	random	Static	0.000524
instance21	49191	ratio value/weightOfMostCriticalDimension descending	Static	0.002160
instance21	49191	ratio value/weightOfMostFullDimension descending	Static	0.002354
instance21	49038	crescent	Dynamic	0.000612
instance21	48182	crescent	Static	0.000630
instance21	47619	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001742
instance21	47619	ratio value/weightOfMostFullDimension descending	Dynamic	0.002610
instance21	46318	ratio value/totalWeight crescent	Static	0.000868
instance21	45181	ratio value/totalWeight crescent	Dynamic	0.001120
instance22	59384	ratio value/totalWeight descending	Dynamic	0.000918
instance22	58892	ratio value/totalWeight descending	Static	0.001012
instance22	57126	ratio value/weightOfMostCriticalDimension crescent	Static	0.001652
instance22	57126	ratio value/weightOfMostFullDimension crescent	Static	0.002466
instance22	56775	descending	Static	0.000426
instance22	56775	descending	Dynamic	0.000414
instance22	55164	random	Static	0.000568
instance22	54713	random	Dynamic	0.000538
instance22	54605	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001842
instance22	54605	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002500
instance22	54256	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001572
instance22	54256	ratio value/weightOfMostFullDimension descending	Dynamic	0.002626
instance22	53449	ratio value/weightOfMostFullDimension descending	Static	0.003010
instance22	53449	ratio value/weightOfMostCriticalDimension descending	Static	0.001792
instance22	51942	crescent	Dynamic	0.000452
instance22	49428	crescent	Static	0.000472
instance22	49049	ratio value/totalWeight crescent	Dynamic	0.000850
instance22	47803	ratio value/totalWeight crescent	Static	0.000986
instance23	58617	ratio value/totalWeight descending	Dynamic	0.001160
instance23	57911	ratio value/totalWeight descending	Static	0.000920
instance23	57238	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001632
instance23	57238	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002194
instance23	56705	ratio value/weightOfMostFullDimension crescent	Static	0.001794
instance23	56705	ratio value/weightOfMostCriticalDimension crescent	Static	0.001404
instance23	53997	random	Dynamic	0.000536
instance23	53813	descending	Static	0.000504
instance23	53813	descending	Dynamic	0.000570
instance23	53574	random	Static	0.000610
instance23	51664	crescent	Dynamic	0.000620
instance23	50412	crescent	Static	0.000594
instance23	50282	ratio value/weightOfMostCriticalDimension descending	Static	0.001942
instance23	50282	ratio value/weightOfMostFullDimension descending	Static	0.001882
instance23	47678	ratio value/totalWeight crescent	Dynamic	0.001026
instance23	46701	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001768
instance23	46701	ratio value/weightOfMostFullDimension descending	Dynamic	0.001770
instance23	45243	ratio value/totalWeight crescent	Static	0.000996
instance24	59356	ratio value/totalWeight descending	Dynamic	0.000896
instance24	59032	ratio value/totalWeight descending	Static	0.000862
instance24	57491	ratio value/weightOfMostCriticalDimension crescent	Static	0.001700
instance24	57491	ratio value/weightOfMostFullDimension crescent	Static	0.002336
instance24	57436	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001262
instance24	57436	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002526
instance24	53859	descending	Static	0.000398
instance24	53859	descending	Dynamic	0.000526
instance24	53113	random	Static	0.000570
instance24	53113	random	Dynamic	0.000502
instance24	51815	ratio value/weightOfMostCriticalDimension descending	Static	0.001592
instance24	51815	ratio value/weightOfMostFullDimension descending	Static	0.002148
instance24	51031	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001778
instance24	51031	ratio value/weightOfMostFullDimension descending	Dynamic	0.002014
instance24	50936	crescent	Static	0.000514
instance24	50936	crescent	Dynamic	0.000452
instance24	48869	ratio value/totalWeight crescent	Dynamic	0.000868
instance24	46164	ratio value/totalWeight crescent	Static	0.000846
instance25	60505	ratio value/totalWeight descending	Dynamic	0.000906
instance25	59858	ratio value/totalWeight descending	Static	0.001192
instance25	57620	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001966
instance25	57620	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002682
instance25	56859	ratio value/weightOfMostFullDimension crescent	Static	0.002672
instance25	56859	ratio value/weightOfMostCriticalDimension crescent	Static	0.001782
instance25	54451	random	Static	0.000530
instance25	54451	random	Dynamic	0.000486
instance25	53795	descending	Static	0.000446
instance25	53795	descending	Dynamic	0.000496
instance25	52665	crescent	Static	0.000474
instance25	52099	crescent	Dynamic	0.000622
instance25	51158	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001636
instance25	51158	ratio value/weightOfMostFullDimension descending	Dynamic	0.002274
instance25	50535	ratio value/weightOfMostFullDimension descending	Static	0.002330
instance25	50535	ratio value/weightOfMostCriticalDimension descending	Static	0.001772
instance25	46447	ratio value/totalWeight crescent	Static	0.001006
