Instance  		Objective		Duration (in s)
instance20 		31874			0.000474
instance20 		31168			0.000604
instance20 		30510			0.001804
instance20 		30510			0.002576
instance20 		30247			0.001110
instance20 		28976			0.001066
instance20 		28296			0.002394
instance20 		28296			0.002758
instance21 		59504			0.001064
instance21 		57171			0.001188
instance21 		56343			0.001836
instance21 		56343			0.002008
instance21 		56343			0.002744
instance21 		56343			0.002688
instance21 		55191			0.000846
instance21 		54097			0.000748
instance21 		53785			0.000606
instance21 		53785			0.000504
instance21 		49191			0.001990
instance21 		49191			0.002496
instance21 		49038			0.000628
instance21 		48182			0.000548
instance21 		47619			0.001860
instance21 		47619			0.003030
instance21 		46318			0.000980
instance21 		45181			0.000978
instance22 		59384			0.001232
instance22 		58892			0.001064
instance22 		57126			0.002148
instance22 		57126			0.002174
instance22 		56775			0.000510
instance22 		56775			0.000464
instance22 		54605			0.001974
instance22 		54605			0.002474
instance22 		54256			0.001954
instance22 		54256			0.002202
instance22 		53890			0.000644
instance22 		53449			0.002828
instance22 		53449			0.002178
instance22 		52830			0.000732
instance22 		51942			0.000504
instance22 		49428			0.000700
instance22 		49049			0.001018
instance22 		47803			0.000868
instance23 		58617			0.000916
instance23 		57911			0.000902
instance23 		57238			0.001770
instance23 		57238			0.002714
instance23 		56705			0.002742
instance23 		56705			0.001940
instance23 		53813			0.000616
instance23 		53813			0.000542
instance23 		53536			0.000710
instance23 		52992			0.000670
instance23 		51664			0.000656
instance23 		50412			0.000508
instance23 		50282			0.001962
instance23 		50282			0.002674
instance23 		47678			0.000964
instance23 		46701			0.002112
instance23 		46701			0.002560
instance23 		45243			0.000892
instance24 		59356			0.000956
instance24 		59032			0.000966
instance24 		57491			0.001814
instance24 		57491			0.002972
instance24 		57436			0.001994
instance24 		57436			0.002764
instance24 		53859			0.000436
instance24 		53859			0.000438
instance24 		51815			0.002034
instance24 		51815			0.003026
instance24 		51115			0.000622
instance24 		51031			0.001928
instance24 		51031			0.002620
instance24 		50936			0.000422
instance24 		50936			0.000414
instance24 		50306			0.000766
instance24 		48869			0.001228
instance24 		46164			0.001120
instance25 		60505			0.001134
instance25 		59858			0.000856
instance25 		57620			0.001782
instance25 		57620			0.002542
instance25 		56859			0.002738
instance25 		56859			0.001952
instance25 		53795			0.000456
instance25 		53795			0.000562
instance25 		52665			0.000508
instance25 		52099			0.000578
instance25 		51158			0.001772
instance25 		51158			0.002952
instance25 		50560			0.000608
instance25 		50535			0.002774
instance25 		50535			0.001802
instance25 		50207			0.000582
instance25 		46447			0.001080
instance25 		46447			0.000946
instance26 		57139			0.001866
instance26 		57139			0.002260
instance26 		56862			0.002742
instance26 		56862			0.001970
instance26 		56229			0.000982
instance26 		56124			0.001202
instance26 		55040			0.000588
instance26 		55040			0.000486
instance26 		51549			0.000550
instance26 		51549			0.000616
instance26 		50387			0.000702
instance26 		50129			0.000674
instance26 		48492			0.001736
instance26 		48492			0.002588
instance26 		48484			0.002834
instance26 		48484			0.001896
instance26 		48427			0.000930
instance26 		48199			0.001032
instance27 		59559			0.001036
instance27 		59559			0.000956
instance27 		58331			0.000578
instance27 		58331			0.000462
instance27 		55058			0.001816
instance27 		55058			0.001938
instance27 		55058			0.002746
instance27 		55058			0.002426
instance27 		55009			0.000620
instance27 		54156			0.000646
instance27 		54013			0.001720
instance27 		54013			0.002886
instance27 		53764			0.000688
instance27 		53274			0.002444
instance27 		53274			0.001812
instance27 		52993			0.000656
instance27 		49990			0.001160
instance27 		49694			0.001042
instance28 		59804			0.000502
instance28 		59804			0.000480
instance28 		59533			0.002114
instance28 		59533			0.001958
instance28 		59533			0.002800
instance28 		59533			0.002764
instance28 		56962			0.000980
instance28 		56962			0.001024
instance28 		52130			0.000466
instance28 		50840			0.001938
instance28 		50840			0.002672
instance28 		50245			0.002660
instance28 		50245			0.002080
instance28 		49839			0.000482
instance28 		49395			0.000532
instance28 		49246			0.000530
instance28 		48698			0.000988
instance28 		48407			0.001042
instance29 		57537			0.000996
instance29 		56360			0.000974
instance29 		55274			0.002010
instance29 		55274			0.002848
instance29 		53994			0.000474
instance29 		53994			0.000482
instance29 		53104			0.001944
instance29 		53104			0.002984
instance29 		51649			0.000618
instance29 		51238			0.000626
instance29 		49283			0.002972
instance29 		49283			0.002702
instance29 		49283			0.001678
instance29 		49283			0.001782
instance29 		48958			0.000560
instance29 		48094			0.000948
instance29 		46948			0.000910
instance29 		46545			0.000588
instance30 		58878			0.000928
instance30 		58878			0.001026
instance30 		57551			0.002358
instance30 		57551			0.003068
instance30 		57201			0.002284
instance30 		57201			0.002724
instance30 		55775			0.000422
instance30 		55775			0.000420
