Instance  		Objective		Scheduling														Heuristic		Duration (in s)
instance22 		56775			descending                                          			Dynamic			0.000506
instance22 		54883			random                                              			Static 			0.000594
instance22 		54808			random                                              			Dynamic			0.000572
instance22 		54605			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001756
instance22 		54605			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001884
instance22 		54256			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001780
instance22 		54256			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002530
instance22 		53449			ratio value/weightOfMostFullDimension descending    			Static 			0.002400
instance22 		53449			ratio value/weightOfMostCriticalDimension descending			Static 			0.001588
instance22 		51942			crescent                                            			Dynamic			0.000526
instance22 		49428			crescent                                            			Static 			0.000550
instance22 		49049			ratio value/totalWeight crescent                    			Dynamic			0.000870
instance22 		47803			ratio value/totalWeight crescent                    			Static 			0.000866
instance23 		58617			ratio value/totalWeight descending                  			Dynamic			0.000694
instance23 		57911			ratio value/totalWeight descending                  			Static 			0.000618
instance23 		57238			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001588
instance23 		57238			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001770
instance23 		56705			ratio value/weightOfMostFullDimension crescent      			Static 			0.001810
instance23 		56705			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001540
instance23 		53813			descending                                          			Static 			0.000298
instance23 		53813			descending                                          			Dynamic			0.000352
instance23 		53137			random                                              			Static 			0.000448
instance23 		51664			crescent                                            			Dynamic			0.000294
instance23 		50412			crescent                                            			Static 			0.000498
instance23 		50306			random                                              			Dynamic			0.000388
instance23 		50282			ratio value/weightOfMostCriticalDimension descending			Static 			0.001150
instance23 		50282			ratio value/weightOfMostFullDimension descending    			Static 			0.002020
instance23 		47678			ratio value/totalWeight crescent                    			Dynamic			0.000550
instance23 		46701			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001144
instance23 		46701			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001862
instance23 		45243			ratio value/totalWeight crescent                    			Static 			0.000548
instance24 		59356			ratio value/totalWeight descending                  			Dynamic			0.000798
instance24 		59032			ratio value/totalWeight descending                  			Static 			0.000558
instance24 		57491			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001372
instance24 		57491			ratio value/weightOfMostFullDimension crescent      			Static 			0.002434
instance24 		57436			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001316
instance24 		57436			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002556
